tweetMentah,,
"""Mao naek gojek.. : Neng maaf ya helmnya agak lembab sedikit, hujan soalnya tadi. : Iya pak ga papa. Gw pake lah https://t.co/",obro,"l"""
@liskhayunia @infobdg @infobandung Ke lalala ? Gojek aja. 2 taun lalu kerja sama dgn gojek kok moga taun ini juga moga aja hah,,
@askmenfess Puberty aku dari mamang gojek ke cici cici.,,
"""gue lagi nunggu kan, nah disitu tuh ada abang gojek, doi nanya jam ya gue jawab aja lah terus gue random entah kenapa jadi ng",,
"""@gojekindonesia halo min, apakah gojek buka lowongan magang anak smk? Jurusan saya Teknik Komputer Jaringan.""",,
@ciwgurl @VampireYaoi Jauh tau harus naik gojek https://t.co/vG9yLbfZ4n,o/Pk,n14koDMd
I liked a @YouTube video https://t.co/LynqMVGRFC Gojek mulangin tuyul,,
"""@chuuahaeyo Oke kakak, otw naik gojek""",,
Dear @gojekindonesia saya pagi ini jam 10an baru sja isi saldo GOPAY dr bank Mandiri 300rb..tetapi sudah 1 jam knp https://t.c,,
Gojek dibawah umur https://t.co/eax3hdUYaw,,
"""Emang suka ngeselin dah tu gojek atau grab, ngeledek bgt https://t.co/vorQXLw2Rx""",,
Takut telat jadi naik gojek. https://t.co/ig6AUeM5XT,,
"""Disaat msh banyak razia di jalan, Gojek &amp; Grab sama2 ngasih promo hehe https://t.co/LQExLUwkcs""",.co/,"zumzIgYI8W"""
Come hangout with me &gt; paska kopdar gojek g4 on #BIGOLIVE https://t.co/ZoJ9CJE9gp https://t.co/DRfoFvs7XB,,
@Jeemiluv naik gojek. motor tinggal,.co/,d5G97Uk1z7
"""Kenapa ya app WA, Twitter, sm Gojek gabisa dipindah ke external storage ? Samsung kan pelit internal storage jd ben https://t",saya,"#Jakarta"""
@gojekindonesia min saya tidak bisa masuk ke akun gojek. Karena nomer yang di akun saya sudah hangus. Bagaimana solusinya?,,
@gojekindonesia Mengapa ya semenjak update aplikasi baik pihak driver maupun penumpang titik lokasi GPS yang terlih https://t,.co/,GQvCyFp6hb
